PUBID,wage,numChildren,age,educ,experience,tenure,marstat,fullTime,y2009
848,10.25,1,20,2.High school,7.322580645,0.076923077,Cohabiting,FALSE,0
851,13.49,0,21,2.High school,NA,1.615384615,Cohabiting,TRUE,0
851,28.25,1,26,2.High school,NA,2.115384615,Cohabiting,TRUE,1
857,8.7,0,24,2.High school,9.290322581,0.423076923,Cohabiting,TRUE,0
857,10.41,2,28,2.High school,16.03225806,4.442307692,Married,FALSE,1
862,9.5,2,28,2.High school,NA,0.269230769,Married,FALSE,1
892,9,1,21,2.High school,1.451612903,0.865384615,No romantic union,TRUE,0
892,8,2,26,2.High school,NA,0.057692308,No romantic union,FALSE,1
904,8.5,2,26,1.Less than HS,9.741935484,1.134615385,Married,NA,1
907,9.42,1,23,1.Less than HS,6.838709677,2.980769231,Cohabiting,TRUE,0
907,10.8,1,27,1.Less than HS,15.09677419,7.903846154,No romantic union,TRUE,1
915,16,0,24,4.College,7.322580645,1.865384615,No romantic union,TRUE,0
915,20,0,29,4.College,15.32258065,0.673076923,No romantic union,TRUE,1
916,10,0,21,2.High school,4.419354839,0.038461538,No romantic union,FALSE,0
924,11.5,0,22,4.College,6.741935484,0.384615385,Cohabiting,TRUE,0
930,17,1,21,2.High school,4.483870968,0.846153846,No romantic union,FALSE,0
930,21.84,2,26,2.High school,11.25806452,2.403846154,Married,TRUE,1
932,13.99,0,25,4.College,6.935483871,2.865384615,No romantic union,TRUE,1
933,29.71,0,28,4.College,NA,3.038461538,No romantic union,TRUE,1
948,9.7,0,20,2.High school,7.709677419,0.711538462,No romantic union,FALSE,0
950,12.5,0,20,2.High school,3.838709677,0.788461538,No romantic union,FALSE,0
950,17.86,0,25,4.College,11.87096774,1.307692308,No romantic union,TRUE,1
964,11,0,22,3.Some college,10.12903226,0.634615385,No romantic union,TRUE,0
964,8,0,27,3.Some college,18.29032258,4.903846154,No romantic union,FALSE,1
965,5.25,0,21,2.High school,2.387096774,0.769230769,No romantic union,FALSE,0
966,10,0,20,2.High school,3.741935484,0.326923077,Cohabiting,TRUE,0
966,15.5,0,24,2.High school,11.64516129,1.653846154,Cohabiting,TRUE,1
979,23,0,22,4.College,8.580645161,0.480769231,No romantic union,TRUE,0
979,43.27,0,27,4.College,16.70967742,0.653846154,No romantic union,TRUE,1
983,7.5,0,20,2.High school,2.903225806,1.115384615,Cohabiting,TRUE,0
983,11.7,2,24,2.High school,10.41935484,2.115384615,Married,TRUE,1
984,14.9,0,23,4.College,9.096774194,0.788461538,No romantic union,TRUE,0
984,31,0,28,4.College,16.83870968,2.769230769,Cohabiting,TRUE,1
988,17,0,21,2.High school,6.419354839,1.923076923,No romantic union,TRUE,0
988,20.22,0,26,4.College,13.80645161,2,No romantic union,TRUE,1
993,15,1,23,2.High school,10.64516129,0.365384615,Cohabiting,TRUE,0
993,18,1,28,2.High school,16.74193548,0.307692308,Cohabiting,TRUE,1
995,14.53,0,24,2.High school,17.06451613,4.173076923,No romantic union,TRUE,0
995,12,0,29,2.High school,23.03225806,0.461538462,No romantic union,FALSE,1
996,19.39,0,23,2.High school,8.161290323,0.826923077,No romantic union,FALSE,0
996,35,0,28,3.Some college,15.90322581,5.442307692,No romantic union,FALSE,1
1003,19.19,2,27,2.High school,2.548387097,0.942307692,Married,TRUE,1
